cytoband	9p21.3	10q23.31	1p36.23	6q26	10q26.3	13q14.2	19q13.41	1p32.3	15q14	14q13.1	22q13.32	4q34.3	17p13.1	17q11.2	8p23.2	3q29	13q22.1	10p13	5q34	14q24.2	1p36.32	18q22.3	1p22.1	12q12	3q13.31	10p15.3	2q22.1	16p12.2	10p11.23	12p13.1	11p15.5	2q37.1	1q42.11	16q23.1	6q22.1	11p11.2	1q44	3p21.1	9q34.2	21q21.1	4p16.3	11q14.1	12q15	10q11.23	
	IFNA2						KLK11		snoU13|ENSG00000239025.1		TYMP					RN7SL36P	RNY1P8			IGHJ5	ACOT7	TSHZ1	GFI1	TMEM117	snoU13|ENSG00000252435.1			snoU13|ENSG00000239172.1		RN7SL46P	HBBP1		snoU13|ENSG00000239054.1	ZNF469	RN7SKP106	RN7SKP287		snoU13|ENSG00000238565.1		snoU13|ENSG00000238591.1			snoU13|ENSG00000238592.1	TIMM23	
	IFNA5						KLK8		MIR627		MAPK11					MIR3137	SNORA9|ENSG00000199282.1			IGHJ6	ICMT	TIMM21	RPL5	ANO6	RN7SL698P			SMG1P1		RN7SKP162	OR52A4		RN7SL276P	FLJ00104	RNA5SP220	HNRNPKP3		MUSTN1		RNA5SP488			MIR548C		
	IFNA8						SIGLEC7		MIR4310		MAPK12					LINC00884	SNORA68|ENSG00000251715.1			IGHM	CHD5	ZNF407	EVI5	ARID2	SNORA24|ENSG00000207130.1			RRN3P3		GRIN2B	OR51H1P		HLX	FBXO31	MIR3145	SNORA31|ENSG00000251838.1		SNORD69		ANKRD20A11P			SNORD83		
	IFNA13						SIGLEC9		RNA5SP393		SBF1					LINC00887	SNORD37|ENSG00000212377.1			IGHD	WRAP73	CNDP2	MTF2	DBX2	MIR1280			EEF2K		RNA5SP353	SNORA62|ENSG00000201980.1		RNU6ATAC35P	snoU13|ENSG00000239186.1	HEBP2	ARHGAP1		SNORD19|ENSG00000222345.1		CYP4F29P			XPOT		
	IFNA14						KLK14		MIR626		PPP6R2					RN7SL215P	RNA5SP32			IGHG3	AJAP1	NETO1	TMED5		RNA5SP139			SDR42E2		HTR7P1	OR51C1P		HDAC1P2	FENDRR	SNORD112|ENSG00000252476.1	CHRM4		SNORD19B|ENSG00000238862.1		ANKRD30BP2			snoU13|ENSG00000238440.1		
	MTAP						KLK12		RN7SL497P		ZBED4					RN7SL447P	LINC00348			IGHG1	LRRC47	CNDP1	CCDC18		NUP210P1			snoU13|ENSG00000238712.1		SNORD88	SNORA7|ENSG00000206976.1		RN7SL464P	LINC00917	SNORA27|ENSG00000201807.1	CRY2		SNORD19|ENSG00000212493.1		BAGE2			RPS11P6		
	C9orf53						CTU1		RN7SL376P		SCO2					snoU13|ENSG00000238902.1	ATXN8OS			IGHA1	TPRG1L	FAM69C	FAM69A		TXNRD3NB			NPIPB4		GPRC5A	snoU13|ENSG00000238686.1		SNORA36B	GINS2	RNA5SP219	EXT2		SNORD19B|ENSG00000252787.1		SNORA70|ENSG00000252199.1			AVPR1A		
	IFNE						CLDND2		snoU13|ENSG00000238559.1		RABL2B					RN7SKP222	RNY3P10			IGHG2	CCDC27	CBLN2			RNA5SP138			RRN3P1		MIR613	TRPC2		snoU13|ENSG00000238576.1	RN7SL381P	7SK|ENSG00000271765.1	F2		RNU6ATAC16P		RN7SL52P			LDHAL6CP		
	MIR31						VSIG10L		LINC00594		MLC1					APOD	RN7SL761P			IGHG4	NPHP4	FBXO15			U1|ENSG00000272020.1			SCARNA6|ENSG00000252798.1		DUSP16	TSSC2		snoU13|ENSG00000238798.1	LINC00311	COX5BP2	MDK		SMIM4		TEKT4P2			snoU13|ENSG00000238475.1		
							KLK9		RNA5SP392		MAPK8IP2					CPN2	LINC00364			IGHE	C1orf174	GTSCR1			FAM86JP			snoU13|ENSG00000238954.1		LOH12CR2	SNORA54		U3|ENSG00000221673.1	TLDC1	LINC00271	DGKZ		MIRLET7G		MIR3648			SNORD112|ENSG00000252883.1		
							SIGLECL1		LINC00984		PLXNB2					DLG1	LINC00355			IGHA2	GPR153	LINC00908			snoU13|ENSG00000238992.1			NPIPB3		TAS2R30	SLC22A18AS		RNA5SP76	RNA5SP433	RNA5SP218	API5		TLR9		CXADR			SNORA19|ENSG00000251822.1		
							IGLON5		snoU13|ENSG00000238564.1		BRD1					FGF12	LINC00395			CRIP1	SMIM1	LINC00909			MIR5092			DCUN1D3		TAS2R64P	KCNQ1OT1		SLC30A10	KCNG4	snoU13|ENSG00000238631.1	PEX16		LINC00696		NCAM2			RN7SKP65		
									THBS1		FAM19A5					GP5	LINC00448			C14orf79	RNF207	C18orf63			RNA5SP137			AQP8		TAS2R20	RPL26P30		U3|ENSG00000212610.1	RNA5SP432	RN7SL408P	MAPK8IP1		ACY1		TMPRSS15			GNS		
									FAM98B		NCAPH2					HES1	LINC00459			LINC00638	HES3				MIR544B			CDR2		TAS2R14	C11orf21		C1orf143	MIR3182	SLC2A12	TP53I11		RN7SL504P		HSPA13			IFNG		
									U3|ENSG00000212511.1		MOV10L1					MFI2	LINC00358			ZBTB42	MIR4689				UMPS			CRYM		PRH2	MIR483		LINC00210	RN7SL134P	TBPL1	ATG13		IQCF6		TPTE			RAP1B		
									CSNK1A1P1		MIOX					MUC4	RNY4P31			C14orf144	MIR4417				MIR5002			NDUFAB1		TAS2R8	H19		SPATA17	snoU13|ENSG00000238321.1	LINC00326	CKAP5		RNA5SP132		NRIP1			HMGA2		
									MIR3942		PANX2					OPA1	RNY3P5			RN7SL634P					SNORA5			PLK1		MAGOHB	C11orf89		SNORD116|ENSG00000202498.1	RN7SKP190	SNORA33|ENSG00000200534.1	HSD17B12		RNU6ATAC29P		BTG3			SLC16A7		
									ANP32AP1		CRELD2					PAK2	LINC00378			LINC00637					PTPLB			PRKCB		EIF2S3L	FAM99B		RN7SL512P	7SK|ENSG00000260682.2	SNORD100	SLC35C1		VPRBP		USP25			USP15		
									GJD2		ADM2					PCYT1A	RNA5SP31			SNORD51|ENSG00000202275.1					SEC22A			RBBP6		RN7SKP161	MOB2		SNORA16B	MIR4720	SNORD101	AMBRA1		RNA5SP131		RBM11			TMEM5		
									SNORA18|ENSG00000252425.1		TRABD					PPP1R2	LINC00434			APOPT1					snoU13|ENSG00000238480.1			ACSM3		KLRF2	MUC5AC		RN7SKP98	GAN	RPS12	TTC17		SEMA3B		C21orf91			WIF1		
									SLC12A6		HDAC10					TFRC	RNY4P28			SNORA28					SNORD112|ENSG00000252170.1			SCNN1B		CLEC2B	SNORA52		MIR3122	PKD1L2	TAAR3	PRDM11		SLC38A3		SAMSN1			IRAK3		
									TMCO5B		SHANK3					TNK2	RN7SL375P			LINC00605					RN7SL172P			SCNN1G		CLEC2D	RPLP2		SNORA26|ENSG00000212187.1	CMC2	STX7	SYT13		GNAT1		CHODL			MON2		
									ACTC1		TUBGCP6					NCBP2	RNY4P29			LINC00677					snoU13|ENSG00000238670.1			UQCRC2		KLRB1	TMEM80		PARP1	RNA5SP431	RN7SKP245	LRRC4C		MIR566		LIPI			TBC1D30		
									BUB1B		LMF2					ACAP2	RNA5SP30			snoU13|ENSG00000238853.1					ARGFX			ZP2		SNORA75|ENSG00000212432.1	SCT		ATF3	PIH1	snoU13|ENSG00000238938.1	ALX4		RN7SL217P		ABCC13			GRIP1		
									CAPN3		KLHDC7B					PIGX	RN7SKP6			RN7SL546P					MIR5682			HS3ST4		SNORA75|ENSG00000212440.1	MIR210HG		CAPN2	MON1B	KIAA0408	ZNF408		MIR5193		POTED			LEMD3		
									CHRM5		C22orf34					LSG1	snoU13|ENSG00000238455.1			snoU13|ENSG00000239061.1					FSTL1			HS3ST2		LINC00987	RN7SL838P		CENPF	SNORD33|ENSG00000252022.1	SOGA3	ACCS		RNA5SP130		LINC00478			TBK1		
									CKMT1B		IL17REL					HRASLS	LINC00458			RN7SL472P					RN7SL397P			IGSF6		A2MP1	ODF3		EPHX1	RN7SKP233	RNA5SP217	TSPAN18		C3orf62		MIRLET7C			IL22		
									EPB42		PIM3					ATP13A3	LINC00558			LINC00524					RN7SL762P			CACNG3		LINC00612	AP2A2		EPRS	RNA5SP430	RSPO3	CREB3L1		RN7SL182P		MIR125B2			TMBIM4		
									GANC		ODF3B					PIGZ	RN7SL618P			U3|ENSG00000206761.1					COX17			ERN2		A2M	APBB1		ESRRG	RN7SL520P	PRELID1P1	GYLTL1B		NDUFAF3		MIR99A			IL26		
									GCHFR		SYCE3					ATP13A4	SUGT1			MEG9					TIMMDC1			GGA2		ARHGDIB	RHOG		H3F3A	ADAT1	RNA5SP216	C11orf94		MIR4793		MIR548X			MDM1		
									PDIA3		MIR3201					CEP19	LINC00345			MIR369					LINC00901			TNRC6A		CD69	ART1		ITPKB	CHST6	RN7SKP56	ALKBH3		TMEM89		MIR3687			NUP107		
									ITPKA		MIR3667					TMEM44	RNY4P24			MIR377					TUSC7			METTL9		CDKN1B	ASCL2		KCNK2	SNORA76|ENSG00000252122.1	CLVS2	ACCSL		MIR711		C21orf37			PPM1H		
									IVD		MIR4535					TM4SF19	RN7SL413P			MIR485					RN7SL582P			LCMT1		CREBL2	CARS		LBR	GLG1	RN7SL564P	MIR670		RN7SL321P					SRGAP1		
									LTK							ZDHHC19	RNY1P6			MIR134					LINC00903			ARHGAP17		PHC1	CCKBR		MARK1	NPIPB15	SIGLECP3			MIR2115					LLPH		
									MAP1A							LRRC15	RN7SL320P			MIR382					RN7SL815P			DNAH3		EMP1	CD81		NVL	HCCAT5	RNA5SP215			RN7SL664P					HELB		
									MEIS2							FAM43A	RPS4XP16			MIR381HG					RN7SL767P			THUMPD1		EPS8	CD151		PPP2R5A	PKD1L3	MIR548B			MIR1226					C12orf56		
									MFAP1							MB21D2	LINC00371			MIR376A1					MIR4446			POLR3E		ETV6	CDKN1C		PROX1	IST1	RN7SKP51			CSPG5					LRIG3		
									PLCB2							XXYLT1	RNA5SP29			MIR376C					SNORD112|ENSG00000253076.1			UBFD1		GPR19	TPP1		PSEN2	SNORD71	RN7SKP18			RN7SL870P					C12orf66		
									RAD51							CCDC50	RNA5SP28			MIR380					SLC35A5			TMEM159		GUCY2C	CNGA4		PTPN14	SNORA70D	RNA5SP214			snoU13|ENSG00000238350.1					MSRB3		
									RYR3							PYDC2	DLEU7			MIR299					ADCY5			LYRM1		KLRC1	CTSD		SRP9	TAT	FAM26E			snoU13|ENSG00000239128.1					RASSF3		
									SPINT1							RNF168	RNY4P9			MIR379					ADPRH			USP31		KLRC2	DRD4		TGFB2	SNORD112|ENSG00000251700.1	TSPYL1			snoU13|ENSG00000251938.1					C12orf61		
									SRP14							SLC51A	RNY4P30			SNORD113|ENSG00000222185.1					ATP6V1A			CHP2		KLRC3	DUSP8		LEFTY2	RNU6ATAC25P	NT5DC1			PRSS44					DPY19L2		
									TP53BP1							FBXO45	ATP7B			SNORD112|ENSG00000252009.1					CASR			PALB2		KLRD1	HBB		TLR5	AP1G1	FRK			PRSS45					FAM19A2		
									TYRO3							MUC20	KLF5			SNORD113|ENSG00000222095.1					CD80			COG7		LRP6	HBD		TP53BP2	AFG3L1P	RNA5SP213			SNORD77|ENSG00000251967.1					MIRLET7I		
									EIF3J							SENP5	DACH1			SNORD113|ENSG00000201710.1					CD86			ERI2		M6PR	HBE1		USH2A	APRT	snoU13|ENSG00000238563.1			LUZPP1							
									SNAP23							TCTEX1D2	GUCY1B2			SNORD113|ENSG00000201036.1					CSTA			SLC5A11		MGP	HBG2		DEGS1	ZFHX3	U3|ENSG00000253091.1			RTP3							
									TGM5							SMCO1	KPNA3			SNORD113|ENSG00000201500.1					DRD3			ACSM1		MGST1	HPX		TAF1A	C16orf3	snoU13|ENSG00000239095.1			RN7SL145P							
									PPIP5K1							UTS2B	LMO7			SNORD113|ENSG00000200150.1					GAP43			EARS2		OLR1	HRAS		TMEM63A	CA5A	snoU13|ENSG00000239015.1			LIMD1							
									AQR							OSTN	NEK3			SNORD112|ENSG00000251918.1					GATA2			VWA3A		PDE6H	IGF2		BPNT1	CALB2	C6orf3			U3|ENSG00000202268.1							
									LCMT2							ATP13A5	PCDH8			SNORD112|ENSG00000252144.1					GOLGB1			OTOA		PIK3C2G	ILK		LEFTY1	CBFA2T3	KIAA1919			ZDHHC3							
									RASGRP1							WDR53	PCDH9			SNORD112|ENSG00000251949.1					GP9			PDZD9		PRB1	INS		DUSP10	CDH13	RPF2			MIR564							
									GPR176							NRROS	UCHL3			SNORD112|ENSG00000252873.1					GSK3B			ANKS4B		PRB3	IRF7		FBXO28	CDH15	snoU13|ENSG00000238775.1			ZNF660							
									CHP1							LINC00885	UTP14C			SNORD112|ENSG00000251769.1					GTF2E1			ZKSCAN2		PRB4	KCNQ1		RAB3GAP2	COX4I1	SNORA40|ENSG00000212587.1			ZNF852							
									OIP5							GMNC	TBC1D4			MEG8					HCLS1			C16orf52		PRH1	LSP1|ENSG00000130592.9		INTS7	CTRB1	RN7SL617P			LINC00694							
									BAHD1							MIR570	TRIM13			MIR433					HGD			NPIPB5		PTPRO	MUC2		NSL1	CYBA	snoU13|ENSG00000238474.1			ABHD5							
									MAPKBP1								DLEU1			MEG3					ITGB5					PZP	MUC6		RPS6KC1	DHODH	CCDC162P			RN7SL517P							
									GOLGA8A								PIBF1			RN7SKP92					KPNA1					KLRC4	NAP1L4		FLVCR1	DPEP1	C6orf183			HIGD1A							
									RTF1								OLFM4			RN7SL523P					LSAMP					YBX3	NUP98		CNIH4	FANCA	AMD1			RN7SL567P							
									MGA								LECT1			YY1					MCM2					KLRG1	SLC22A18		PYCR2	FOXF1	ARG1			ZBTB47							
									VPS39								KLF12			DEGS2					MYLK					KLRAP1	POLR2L		NENF	FOXL1	COL10A1			U8|ENSG00000212145.2							
									SERF2								DIS3			MIR342					NDUFB4					STRAP	PSMD13		RRP15	FOXC2	CTGF			ALAS1							
									TMEM87A								INTS6			CCNK					PLXNA1					PRR4	RNH1		KCTD3	GALNS	EPB41L2			AMT							
									RPAP1								CKAP2			U6|ENSG00000272439.1					RHO					KLRK1	MRPL23		DTL	GAS8	EYA4			APEH							
									RPUSD2								PCDH17			RN7SL714P					RPN1					GABARAPL1	RRM1		MARC2	GCSH	FABP7			RHOA							
									TUBGCP4								VPS36			RN7SL710P					SLC15A2					TAS2R9	SMPD1		SUSD4	HP	FUCA2			CACNA1D							
									EHD4								THSD1			LINC00618					TRH					TAS2R7	TRIM21		GPATCH2	HPR	FYN			SLC25A20							
									NDUFAF1								SPRYD7			RN7SKP108					UPK1B					TAS2R13	STIM1		TMEM206	HSBP1	GJA1			CAMP							
									NUSAP1								KLHL1			snoU13|ENSG00000238776.1					CNBP					TAS2R10	TALDO1		BATF3	HSD17B2	GPR6			CCK							
									EMC4								PCDH20			DKFZP434O1614					ZNF80					HEBP1	TH		IARS2	IRF8	GRM1			CDC25A							
									SPTBN5								RNASEH2B			C14orf132					ZNF148					DERA	TSPAN4		ENAH	KARS	HDAC2			CISH							
									CTDSPL2								DHRS12			LINC00617					RAB7A					DDX47	TNNI2		SMYD2	MAF	HIVEP2			CCR1							
									DLL4								BORA			GLRX5					RUVBL1					CLEC1B	TNNT3		ADCK3	MC1R	HSF2			CCR3							
									INO80								TDRD3			SCARNA13					B4GALT4					CLEC1A	PHLDA2		ACBD3	MVD	IFNGR1			CCR5							
									PPP1R14D								DIAPH3			SNHG10					SNX4					KLRF1	ZNF195		MARC1	CHMP1A	KPNA5			ACKR2							
									ZNF770								CCDC70			MIR4506					NR1I2					WBP11	ZNF214		AIDA	PLCG2	LAMA2			COL7A1							
									HAUS2								WDFY2			SLC24A4					MBD4					PLEKHA5	ZNF215		C1orf115	PSMD7	LAMA4			CYP8B1							
									RMDN3								PRR20A			NDUFB1					H1FX					MANSC1	RASSF7		HHIPL2	RPL13	MARCKS			DAG1							
									DNAJC17								HNRNPA1L2			U3|ENSG00000200042.1					KALRN					STYK1	IFITM1		VASH2	SPG7	MAN1A1			DOCK3							
									NOP10								COMMD6			RN7SL506P					STXBP5L					GPRC5D	OR6A2		WDR26	ZNF19	MAP3K5			DUSP7							
									EMC7								FAM124A			SNORA11B					IQCB1					ATF7IP	DCHS1		MIXL1	ZNF23	MYB			CELSR3							
									PAK6								KCNRG			LINC00642					POLQ					H2AFJ	BRSK2		DISP1	SLC7A5	NMBR			GNAI2							
									CASC5								NEK5			RN7SKP255					ALDH1L1					LMO3	TSPAN32		ANGEL2	CDK10	ENPP1			XCR1							
									AVEN								DLEU2			RN7SKP107					PDIA5					KIAA1467	TSSC4		LYPLAL1	MBTPS1	ENPP3			GPX1							
									STARD9								ALG11			KCNK10					MRPL3					CLEC7A	TRIM22		DNAH14	TAF1C	PEX7			GRM2							
									VPS18								MZT1			GPR65					MGLL					BCL2L14	IFITM3		TATDN3	USP10	PLAGL1			HYAL1							
									ZNF106								SERPINE3			LINC00911					COPG1					RERGL	DEAF1		BROX	BCAR1	PLN			IMPDH2							
									CHAC1								PRR20B			RNU3P3					TMCC1					APOLD1	IFITM2		CNIH3	VPS9D1	PKIB			ITIH1							
									KATNBL1								PRR20C			RNU6ATAC28P					PLXND1					GSG1	TRIM3		C1orf227	KIAA0513	PTPRK			ITIH3							
									WDR76								PRR20D			snoU13|ENSG00000238978.1					C3orf27					RERG	PKP3		FAM71A	PIEZO1	REV3L			ITIH4							
									TMEM62								PRR20E			SNORA79|ENSG00000221303.1					C3orf17					PLCZ1	SIRT3		SDE2	DHX38	ROS1			LAMB2							
									SPG11								MIR759			NRXN3					ZBTB20					CAPZA3	OR52A1		C1orf65	ATP2C2	SGK1			LTF							
									ELL3								MIR3169			RNA5SP388					FAM162A					LOH12CR1	ARFIP2		LIN9	CLEC3A	SMPD2			MAP4							
									C15orf41								MIR3613			RN7SL587P					ATP2C1					TMEM52B	TIMM10B		MIA3	CHST4	TCF21			MST1							
									ZFYVE19								MIR4704			SNORA46|ENSG00000212371.1					ACAD9					HIST4H4	RBMXL2		C1orf95	MPHOSPH6	TNFAIP3			MST1R							
									FRMD5								MIR548X2			FKSG61					ASTE1					CLEC12A	PGAP2		FAM177B	EMC8	TPD52L1			MYL3							
									DISP2								MIR4703			SAMD15					KLF15					CLECL1	TRPM5		MIR215	TUBB3	UTRN			NKTR							
									DPH6								MIR5007			RN7SL137P					GTPBP8					TAS2R43	UBQLN3			CFDP1	EPM2A			PFKFB4							
									C15orf57								MIR5693			TMED8					SEC61A1					TAS2R31	BET1L			PRDM7	DDO			PLXNB1							
									KNSTRN											SNORA32|ENSG00000201384.1					PIK3R4					TAS2R46	CEND1			GABARAPL2	CD164			PRKAR2A							
									BMF											RN7SL356P					PODXL2					TAS2R19	CDHR5			TCF25	WISP3			PRKCD							
									CHST14											RN7SKP17					PLA1A					TAS2R50	TOLLIP			PHLPP2	VNN2			PTH1R							
									CASC4											RN7SL747P					FBXO40					CLEC9A	TRIM68			ZCCHC14	VNN1			QARS							
									TGM7											TGFB3					SEMA5B					C12orf36	PIDD			GSE1	WASF1			RPL29							
									CATSPER2											C14orf1					WDR5B					TAS2R42	KCNQ1DN			ATMIN	TAAR5			SEMA3F							
									PLA2G4E											RNA5SP387					PARP14					CLEC2A	MMP26			COTL1	MAP7			SMARCC1							
									TRIM69											RNU4ATAC14P					GRAMD1C					CLEC12B	CHRNA10			MLYCD	TAAR2			NEK4							
									C15orf43											SNORA7|ENSG00000222604.1					ROPN1					SMCO3	PNPLA2			CHST5	MED23			TCTA							
									TMCO5A											ISCA2					SIDT1					PRB2	PHRF1			CPNE7	AKAP7			TDGF1							
									ZSCAN29											MIR4709					SLC41A3					MIR614	SIGIRR			IL17C	PHACTR2			TGM4							
									TTBK2											RN7SL530P					TMEM39A					SLC15A5	RIC8A			ANKRD11	BCLAF1			TKT							
									CDAN1											LIN52					IFT122						MRPL17			OSGIN1	ZBTB24			CLEC3B							
									STRC											ENTPD5					WDR52						EPS8L2			TRAPPC2L	FIG4			TNNC1							
									SPRED1											snoU13|ENSG00000238330.1					EAF2						CHID1			WWOX	TRDN			UBA7							
									PGBD4											ACOT4					MUC13						OR51G1			BCMO1	CITED2			USP4							
									ADAL											C14orf169					C3orf37						OR51B4			TERF2IP	TRAF3IP2			UQCRC1							
									EXD1											RN7SL586P					POGLUT1						OR51B2			NECAB2	HBS1L			VIPR1							
									FSIP1											snoU13|ENSG00000238972.1					HEG1						OR52N1			KLHDC4	SMPDL3A			WNT5A							
									RHOV											RN7SL683P					KIAA1257						SLC25A22			HYDIN	RAB32			ZNF35							
									UBR1											SNORD56B					ARHGAP31						ATHL1			DEF8	CDK19			IFRD2							
									PATL2											RN7SL77P					KIAA1407						OR51G2			TXNL4B	TSPYL4			MAPKAPK3							
									LPCAT4											ADAM20P1					EEFSEC						OR51E2			BANP	HEY2			MANF							
									PLA2G4F											SYNJ2BP					POPDC2						PTDSS2			RFWD3	ASF1A			BAP1							
									LRRC57											ADAM21P1					ATG3						FAM160A2			ZNF821	CCDC28A			HYAL3							
