Gene,Source,Reason,,,
OR4C12,10.1038/nature12213,OLFACTORY,,,
OR4D5,10.1038/nature12213,OLFACTORY,,,
OR2T1,10.1038/nature12213,OLFACTORY,,,
OR4P4,10.1038/nature12213,OLFACTORY,,,
OR5H14,10.1038/nature12213,OLFACTORY,,,
OR5F1,10.1038/nature12213,OLFACTORY,,,
OR2T8,10.1038/nature12213,OLFACTORY,,,
OR4C13,10.1038/nature12213,OLFACTORY,,,
OR5K1,10.1038/nature12213,OLFACTORY,,,
OR4K5,10.1038/nature12213,OLFACTORY,,,
OR2B11,10.1038/nature12213,OLFACTORY,,,
OR5L1,10.1038/nature12213,OLFACTORY,,,
OR2L8,10.1038/nature12213,OLFACTORY,,,
OR2T12,10.1038/nature12213,OLFACTORY,,,
OR2T34,10.1038/nature12213,OLFACTORY,,,
OR8H1,10.1038/nature12213,OLFACTORY,,,
OR5D16,10.1038/nature12213,OLFACTORY,,,
OR10Q1,10.1038/nature12213,OLFACTORY,,,
OR2M3,10.1038/nature12213,OLFACTORY,,,
OR6K3,10.1038/nature12213,OLFACTORY,,,
OR5T3,10.1038/nature12213,OLFACTORY,,,
OR14C36,10.1038/nature12213,OLFACTORY,,,
OR5AC2,10.1038/nature12213,OLFACTORY,,,
OR52J3,10.1038/nature12213,OLFACTORY,,,
OR4Q3,10.1038/nature12213,OLFACTORY,,,
OR10A4,10.1038/nature12213,OLFACTORY,,,
OR4C16,10.1038/nature12213,OLFACTORY,,,
OR8B2,10.1038/nature12213,OLFACTORY,,,
OR5D14,10.1038/nature12213,OLFACTORY,,,
OR5H6,10.1038/nature12213,OLFACTORY,,,
OR8I2,10.1038/nature12213,OLFACTORY,,,
OR2T2,10.1038/nature12213,OLFACTORY,,,
OR4A16,10.1038/nature12213,OLFACTORY,,,
OR52E6,10.1038/nature12213,OLFACTORY,,,
OR6N1,10.1038/nature12213,OLFACTORY,,,
OR2AK2,10.1038/nature12213,OLFACTORY,,,
OR2L2,10.1038/nature12213,OLFACTORY,,,
OR4D11,10.1038/nature12213,OLFACTORY,,,
OR2A5,10.1038/nature12213,OLFACTORY,,,
OR51S1,10.1038/nature12213,OLFACTORY,,,
OR9A2,10.1038/nature12213,OLFACTORY,,,
OR51L1,10.1038/nature12213,OLFACTORY,,,
OR56A4,10.1038/nature12213,OLFACTORY,,,
OR52E2,10.1038/nature12213,OLFACTORY,,,
OR6M1,10.1038/nature12213,OLFACTORY,,,
OR2T11,10.1038/nature12213,OLFACTORY,,,
OR5M11,10.1038/nature12213,OLFACTORY,,,
OR4C46,10.1038/nature12213,OLFACTORY,,,
OR6K2,10.1038/nature12213,OLFACTORY,,,
OR2B3,10.1038/nature12213,OLFACTORY,,,
OR2T6,10.1038/nature12213,OLFACTORY,,,
OR56A1,10.1038/nature12213,OLFACTORY,,,
OR5B2,10.1038/nature12213,OLFACTORY,,,
OR4K15,10.1038/nature12213,OLFACTORY,,,
OR5AS1,10.1038/nature12213,OLFACTORY,,,
OR8A1,10.1038/nature12213,OLFACTORY,,,
OR4C3,10.1038/nature12213,OLFACTORY,,,
OR4D2,10.1038/nature12213,OLFACTORY,,,
OR8K3,10.1038/nature12213,OLFACTORY,,,
OR8J1,10.1038/nature12213,OLFACTORY,,,
OR4F6,10.1038/nature12213,OLFACTORY,,,
OR8H3,10.1038/nature12213,OLFACTORY,,,
OR1J4,10.1038/nature12213,OLFACTORY,,,
OR52A5,10.1038/nature12213,OLFACTORY,,,
OR8B4,10.1038/nature12213,OLFACTORY,,,
OR51I1,10.1038/nature12213,OLFACTORY,,,
OR2T33,10.1038/nature12213,OLFACTORY,,,
CSMD3,10.1038/nature12213,OTHER,,,
CNTNAP5,10.1038/nature12213,OTHER,,,
RYR2,10.1038/nature12213,OTHER,,,
LRP1B,10.1038/nature12213,OTHER,,,
CSMD1,10.1038/nature12213,OTHER,,,
CNTNAP2,10.1038/nature12213,OTHER,,,
RYR3,10.1038/nature12213,OTHER,,,
NRXN1,10.1038/nature12213,OTHER,,,
CNTNAP4,10.1038/nature12213,OTHER,,,
MUC4,10.1038/nature12213,OTHER,,,
PCLO,10.1038/nature12213,OTHER,,,
LRP2,10.1038/nature12213,OTHER,,,
DNAH5,10.1038/nature12213,OTHER,,,
CNTN5,10.1038/nature12213,OTHER,,,
PARK2,10.1038/nature12213,OTHER,,,
BAGE2,10.1038/nature12213,OTHER,,,
TPTE,10.1038/nature12213,OTHER,,,
